,Budget,Profit
563,85000000,-20066330
564,21000000,-20041681
565,35000000,-20001930
566,25000000,-20000000
567,70000000,-19983606
568,20000000,-19982851
569,60000000,-19923562
570,40000000,-19886035
571,28000000,-19880795
572,25000000,-19871876
573,30000000,-19865246
574,45000000,-19799588
575,20000000,-19736635
576,40000000,-19700000
577,20000000,-19694930
578,50000000,-19693732
579,19900000,-19647348
580,20000000,-19624526
581,20000000,-19596068
582,20000000,-19596068
583,28000000,-19565399
584,20000000,-19523730
585,27000000,-19513094
586,80000000,-19492772
587,25000000,-19483292
588,60000000,-19440070
589,38000000,-19346254
590,25000000,-19345223
591,120000000,-19314120
592,55000000,-19292673
593,24000000,-19289545
594,31000000,-19145306
595,30000000,-19119074
596,28000000,-19111857
597,40000000,-19083691
598,30000000,-19044575
599,22000000,-19036988
600,30000000,-19034791
601,40000000,-19000897
602,19000000,-18987439
603,34000000,-18918217
604,24000000,-18891180
605,41000000,-18891023
606,90000000,-18851301
607,40000000,-18823678
608,20000000,-18816646
609,20000000,-18809982
610,70000000,-18774204
611,22000000,-18752184
612,35000000,-18704226
613,32000000,-18696681
614,43000000,-18592056
615,40000000,-18586498
616,43000000,-18569728
617,26000000,-18503478
618,100000000,-18442521
619,150000000,-18435269
620,30000000,-18423913
621,20000000,-18353336
622,22500000,-18309470
623,20000000,-18302044
624,27000000,-18287436
625,32000000,-18236870
626,48000000,-18218547
627,50000000,-18125131
628,50000000,-18125131
629,30000000,-18100000
630,85000000,-18058441
631,35000000,-18011004
632,20000000,-18000000
633,18000000,-17954750
634,21000000,-17918075
635,18000000,-17872563
636,25000000,-17843067
637,27500000,-17835684
638,20000000,-17754000
639,22000000,-17726628
640,125000000,-17714996
641,19000000,-17707473
642,20000000,-17680813
643,20000000,-17680813
644,20000000,-17646272
645,42000000,-17624564
646,70000000,-17525384
647,49000000,-17430732
648,52000000,-17419365
649,35000000,-17403744
650,55000000,-17399565
651,35000000,-17390018
652,52000000,-17363557
653,18000000,-17323302
654,30000000,-17287907
655,40000000,-17282242
656,50000000,-17258404
657,31500000,-17231467
658,17500000,-17174509
659,30000000,-17168879
660,30000000,-17168879
661,28000000,-17092709
662,30000000,-17012353
663,28000000,-16969037
664,60000000,-16939434
665,60000000,-16880121
666,19000000,-16880006
667,23000000,-16855194
668,17000000,-16726580
669,27000000,-16702103
670,35000000,-16693834
671,35000000,-16682849
672,35000000,-16675758
673,60000000,-16662721
674,150000000,-16624154
675,150000000,-16617691
676,68000000,-16603219
677,21000000,-16601608
678,16800000,-16579086
679,50000000,-16577194
680,20000000,-16480373
681,55000000,-16446167
682,35000000,-16406844
683,25000000,-16400000
684,50000000,-16356539
685,20000000,-16250939
686,83000000,-16137932
687,23000000,-16076109
688,22000000,-16025347
689,37000000,-16008503
690,37000000,-16008503
691,20000000,-15998879
692,20000000,-15997045
693,16000000,-15997036
